address,transfers,lp,stake,total amount,day average total amount,allocated_amount
0xeeca92f4eb0b3102a62a414f1ff6290fFE23B67d,43549677508305428480,477897315404540992,0,44027574823709969472,105213882125566218.5910165484,79212610905047374
0x92b05185993AeC97DA566578Cf41159C67cC4A1f,1749793539965192503296,329630004050913263616,0,2079423544016105766912,5695162052167893689.191489361,4287729400015603582
0x9eF3f0e855Dd038C4196DAd5171C6Ba7FC4040f7,41439922143213682688,0,0,41439922143213682688,97966719014689557.18203309693,73756422994575895
0xa7BFB31Eb146664A4c01442be852fa6E8231acc3,1844267903025195778048,0,0,1844267903025195778048,4359971401950817442.193853428,3282501427023600557
0x22A31C40acad53F60c5A51F627C472505aa895df,30000000000000000,10000000000000000,0,40000000000000000,118203309692671.3947990543735,88991990307894
0xe6BA6AD07Ae4E30De671291448C1c8607FB067cC,7060176004135822336,0,0,7060176004135822336,16690723414032676.91725768322,12565982290641756
0xcFb9DDaF3957F1d7eCAFA6c57b480dd0aa0914C9,84105317895603552256,63292769295549300736,0,147398087191152852992,498087131174236770.0425531915,374995973168533819
0x9B9be60d689dFFD8167d2E85A41F85Bc0146cB6B,635151142256569745408,0,0,635151142256569745408,1501539343396145970.231678487,1130467285914901652
0xCe263e0A7899EBb2e0c25174B7f54d981D26efa5,45461530415450447872,0,0,45461530415450447872,107474067176005786.9314420804,80914241482276785
0x367691a8ba1E686ce09546309fC9bbE67da19617,1032549019496973074432,0,688366012997982093312,1720915032494955167744,5734631517560982705.297815784,4317444864758951180
0x567fac90E435b9B7D05dD7DF1B26FFA3DC995e6A,10000000000000000,0,0,10000000000000000,23640661938534.27895981087470,17798398061578
0xb4F956A1A97b74F17773A5496B93F17a34f720E3,78089712344938643456,0,0,78089712344938643456,184609249042408140.5579196217,138987178482941739
0x48d9d1C185AD4e901e056deCdf20406FA5FeE583,17939363204175579136,0,0,17939363204175579136,42409842090249596.06619385343,31929192727916020
0x0d301Bf3ac4B3e10C6Bdf5312f4ac5a29EC430E7,535068053478003245056,335769153993809657856,0,870837207471812902912,2852497308429367755.952718676,2147566032499862278
0x63cd5b09dc034876f27d2afB3EE2338413d0390b,8725548446978765824,0,0,8725548446978765824,20627774106332779.72576832151,15530078456492049
0x6b64d3AB6F6ecC4595eB0478b99202961dbcb60f,132929333884731120,0,0,132929333884731120,314253744408347.8014184397163,236592919854098
0x233b3Cb09b531843e86c95082904aeDF4b14208D,201713087017263104000,0,100856543508631552000,302569630525894656000,959430283696530085.0837603357,722328424896178685
0x17f0ac6C4c68f32865d8CEEd642830cF03E721c6,21718690150033842176,10859345075016921088,0,32578035225050763264,102688842316944880.2647754137,77311578533279437
0xfefF18971b0E49F503586980218C835dCa346B8F,3136267449333123584,0,0,3136267449333123584,7414343851851355.990543735225,5582053649080397
0x4F025D063c0f821D575d4779eC0041A690aB45bD,1405224075417755844608,213551998394300563456,733590058971865939968,2352366132783922348032,7841745133713709317.747961135,5903832208682223775
0x7657B9a4AfF6bA0097d5C2081fB7798d9493D4d4,313869260821078278144,0,86382184496332750848,400251445317411028992,1155319596339137327.822457498,869808050106638709
0x9ab3d3010fee8D8e7b68c247c3bFdEF8F84792B4,2341754236024760565760,0,0,2341754236024760565760,5536062023699197554.988179669,4167947405515750273
0x3B62362840CE25645551D403445559284A0a7A8A,107777622671235039232,0,0,107777622671235039232,254793434210957539.5555555556,191826903043330224
0xe8F4F34B3e6B24CCB9A3D71058b8Db5881881A78,131493046737524948992,0,0,131493046737524948992,310858266518971510.6193853428,234036558816428046
0x1157325A2dC51c7043c316f531a7E8D3217834dE,788926014877902569472,0,0,788926014877902569472,1865073321224355956.198581560,1404161925393210379
0xF5b164fA37d3db2299260ecca770E775Ac9Cb02f,161941604818814599168,0,0,161941604818814599168,382840673330530967.3002364066,288230114529618167
0xC40D92274004F749fB73e9b206687d88a1AD8B2e,199733917803694620672,0,0,199733917803694620672,472184202845613760.4539007092,355494377546885699
0x9ACE5Bc66E64B30BBb5A3Cb8326a17EB147022D2,397185281634744860672,0,0,397185281634744860672,938972297008853098.5153664303,706926174673555079
0x25BE4f51fB43Dc923a5D9BC56ca842B56C8F1743,399645785241644957696,0,0,399645785241644957696,944789090405780041.8345153664,711305476936310961
0xb677906AbE81b27a2f6f34Bd161E34e6067e4119,593885830274054750208,121179620129630158848,167084479349291286528,882149929752976195584,2776385970638219410.151684821,2090263919279501754
0xB6953D76EE546b4CEAbE7562A10b9cde4353587c,1099090782296914788352,0,0,1099090782296914788352,2598323362404053873.172576832,1956205524913275121
0x5c29A94c6104028AA2A931e045F7A5185e0B735B,137329767829652144128,0,0,137329767829652144128,324656661535820671.6973995272,244424987353637438
0xA7EeF3BCdDE2Ab6BeBDC3B998274FdA960886A25,152601152419981295616,0,0,152601152419981295616,360759225579151999.0921985816,271605605542651611
0x72A05b32Aaa8B60E3978837D895b0c269E7FcF8d,3794997250286377472,0,0,3794997250286377472,8971624705168741.068557919622,6754487170319468
0xB58F8B1BF04Dd4C67c1C220A72c18EC5220d2b0C,2848523938595902324736,1072400838888673378304,0,3920924777484575703040,11804552284570328797.50354610,8887319697129038527
0x19c5D0ba964D4C6e12731CDb9EEd047e5B157097,172423515581102850048,0,0,172423515581102850048,407620604210645035.5744680851,306886236548933689
0xc0bb065F45ab9aE9Cd5dC8C338AFf27F4DaA72dF,289893598421381316608,138351866784698564608,5179416981375250432,433424882187455131648,1364255497519364146.616806362,1027110089627744045
0xeD993BA39CCb394A16485dbc92D3a59A612929B5,15000000000000000000,0,0,15000000000000000000,35460992907801418.43971631206,26697597092368495
0x306bB68E57fBD9C7B65a784D4E3a166213303BBC,6162619429675203559424,0,1414379852536892096512,7576999282212095655936,21336207974766963031.70780594,16063438648498484700
0xeC5F091873706A19dE9B623e28E034D50c84D43c,906939212381472948224,0,388682692202144858112,1295621904583617806336,4003790131881356919.250647573,3014342437091016733
0x228463ceeA874eB10f73B0654462B68C368198e5,204541613297058906112,0,0,204541613297058906112,483549913231817744.9456264775,364051305361861396
0x852E45eD1a6502406Af4c409DF4e0Eef3CC0A0E3,1234144578446144256,617072289223072128,0,1851216867669216384,5835198952464039.035460992908,4393159294544816
0x50729246D44Ad421Ac22ADFc339E0F2B79239dE1,13606309272963174629376,0,5868769757654391193600,19475079030617565822976,60246453850228047240.96942550,45357882542073581218
0x908274e59964eD827aE5510C7A033765033988A6,640263395373623168,0,0,640263395373623168,1513625048164593.777777777778,1139566277511788
0xE2aE42294579A7DF0C9158D734F2C1faD99f824e,223967228449334394880,0,0,223967228449334394880,529473353308119136.8321513002,398625788468985361
0x9CE4112d0942bd8C183E5a3B50dE1cd181AF571d,3381242307824813056,0,0,3381242307824813056,7993480633155586.420803782506,6018069653731804
0x00D118A46d6303266f6625863ea0a0827F732C10,79914147920862724096,61995009546228629504,0,141909157467091353600,482042948022033056.9834515366,362916753091775438
0xFf2AF35EDB9Db98874E4CabCb7E4f19A34EB0A8c,18392206998586777600,0,9196103499293388800,27588310497880166400,87480890007643512.17437533227,65861933442705578
0x85406fdE65b17EB1e2283A4014144E93ff3bCF01,433693266774321004544,0,283844018411430412288,717537285185751416832,2383384941733891596.225638241,1794384355110114697
0x57C0fCd956B18f2Db5104a6eeEe7B2DCb5575809,1022003804063148672,0,0,1022003804063148672,2416084643175292.368794326241,1819003052516390
0x436a85B691B5d5881263a24Df8FF5D520FD39951,10272511874806665183232,0,0,10272511874806665183232,24284898049188333766.50591017,18283425544010617465
0x84A285Acc7204aA4e2c833d0E9daa51175F59381,1000000000000000000,0,0,1000000000000000000,2364066193853427.895981087470,1779839806157899
0xdFE31c6394AC0fb41677156C95E19a07Fc6D9d32,200000000000000000,0,0,200000000000000000,472813238770685.5791962174941,355967961231579
0x54df491FDF1463448d85aA9D3eedcf219B82504e,100000000000000000,0,0,100000000000000000,236406619385342.7895981087470,177983980615789
0x68998097BD46e6e7D585A9560f52Ae20905DaE54,2477865831299896832,1238932915649948416,0,3716798746949845248,11715677689361214.33569739953,8820408481732182
0xE6Fb68ed6f7395dFDd037D437dB6128F60280406,37723530296443566817280,0,0,37723530296443566817280,89180922686627817534.94089835,67141840850413773377
0x5929d1a3f4A11D6F261D62CA6ed72CB3ae46292e,596900436184023564288,0,0,596900436184023564288,1411112142279015518.411347518,1062387156633338261
0x5eE42438d0D8fc399C94ef3543665E993e847b49,9417697437182503944192,2382675599356489367552,0,11800373036538993311744,33529665805899486239.47044917,25243554534840279204
0xcc42e3814EB13e2E269bb2bBC182429Ef36Fb00d,23837032053529391398912,2500889801248089833472,11552652340771973758976,37890574195549454991360,123452708227356309486.9269628,92944116730882288571
0x44CF8b9B9d5A87Ce2C179d3474eA9477e540c0Ac,24895470139189276672,11447735069594638336,0,36343205208783915008,112980946284582868.4255319149,85060217881173043
0xB6F46139a7AadAeC79F5F029FA39B3F32DdC68b4,428155348071999799296,0,91872380313200672768,520027728385200472064,1451768351143369220.013437850,1092996087589834478
0x8e9a87e2EC35baFaFB8a93d81b589eca92577054,847071491731694551040,245025751259486814208,174378795510884335616,1266476038502065700864,3995395571611905431.378420261,3008022405713888686
0xe6a5f4b5c2dB1a476A6B3168f89dA0132B72F940,1925601065748843462656,208911762872581423104,940142744133087133696,3074655572754512019456,10038301496380865498.27484249,7557558513347110229
0x4D43f8FBab0E8cF25D6525859Dcb4f968e346e19,771397766020691525632,0,0,771397766020691525632,1823635380663573346.647754137,1372964450344904448
0xfa4708255a44922560230Ba835244Be809b5ab40,681898960740021043200,0,0,681898960740021043200,1612054280709269605.673758865,1213670914102792289
0x4C4bb160FC88Df3eF3ab1a310581767A356e8D50,19590146514728955904,0,0,19590146514728955904,46312403108106278.73286052009,34867322575380038
0xf6364df9747FdAf370871F5F919356e3FC3f2DF6,2762811703346415616,0,0,2762811703346415616,6531469747863866.704491725768,4917362246534860
0x7dB4ebA83F2888cf95F66bbC81a5D8637008c123,349625525551807725568,0,0,349625525551807725568,826537885465266490.7044917258,622277427625983259
0xCC35C595eEA0b527b3bDfa41992529c91a786D3b,81941604818814599168,0,0,81941604818814599168,193715377822256735.6217494090,145842930036986193
0xfa503018a25cB1325283726DbC470579Ed347d18,3677785995057198,0,0,3677785995057198,8694529539142.312056737588652,6545869912532
0x3E6b046065F5B69C67Df56539d4EF958C7f800B8,4832670524284673024,0,0,4832670524284673024,11424753012493316.84160756501,8601379369167827
0x124C5E21A073Fb4694308fBDF72aF362451EAe12,23635170364438523936768,11830099377051127513088,0,35465269741489651449856,111809383258961652394.6666667,84178180604109934132
0xE8bd8022456E10623058944441c6974EA6F871C1,5897710174376866816,2948855087188433408,0,8846565261565300224,27885154488779512.13238770686,20993958667076790
0xcaD5bC7fdE8A92a77457d7805046e9CeC1e97478,16957870768820397801472,4469527479244293668864,6568831045738391666688,27996229293803083137024,92651860252637433337.87849378,69755013383710336761
0x6056557A54871ba29FA9f5EC609b67296e0f3246,1711558225822040064,0,0,1711558225822040064,4046236940477636.085106382979,3046299460875058
0x0065058668B350BEe2763d43d14FF293d916b106,8510288736428023808,0,0,8510288736428023808,20118885901721096.47281323877,15146950654991810
0x67CEFaEC420B0BEAEC087f767B7DACC783B38F92,620208365802454515712,0,0,620208365802454515712,1466213630738663157.711583924,1103871537567348374
0x8D18ab998eEB0B3CA692763db0AC52241E652697,372832586689707180032,236604031656785346560,0,609436618346492526592,2000096099298529250.950354610,1505816826503537527
0x075644595195d80C7cF66D7b46469EC5e8Edd9e8,39807396444801431764992,0,18903698222400713785344,58711094667202145550336,184555637054068130013.2776816,138946815505296309405
0xd3E69dD45393AE3B3f81468900f6d687c53f2c1d,2449245841898040320,0,0,2449245841898040320,5790179295267234.799054373522,4359265244476849
0xD8aAFA176D3f5818FBD5d20514b3B4A6Fe19CE7A,231313987520707067904,0,0,231313987520707067904,546841578063137276.3687943262,411701842710466090
